"2017-01-01","2017-01-09","2017-01-17","2017-01-25","2017-02-02","2017-02-10","2017-02-18","2017-02-26","2017-03-06","2017-03-14","2017-03-22","2017-03-30","2017-04-07","2017-04-15","2017-04-23","2017-05-01","2017-05-09","2017-05-17","2017-05-25","2017-06-02","2017-06-10","2017-06-18","2017-06-26","2017-07-04","2017-07-12","2017-07-20","2017-07-28","2017-08-05","2017-08-13","2017-08-21","2017-08-29","2017-09-06","2017-09-14","2017-09-22","2017-09-30","2017-10-08","2017-10-16","2017-10-24","2017-11-01","2017-11-09","2017-11-17","2017-11-25","2017-12-03","2017-12-11","2017-12-19","2017-12-27","2018-01-01","2018-01-09","2018-01-17","2018-01-25","2018-02-02","2018-02-10","2018-02-18","2018-02-26","2018-03-06","2018-03-14","2018-03-22","2018-03-30","2018-04-07","2018-04-15","2018-04-23","2018-05-01","2018-05-09","2018-05-17","2018-05-25","2018-06-02","2018-06-26","2018-07-04","2018-07-12","2018-07-20","2018-07-28","2018-08-05","2018-08-13","2018-08-21","2018-08-29","2018-09-06","2018-09-22","2018-09-30","2018-10-08","2018-10-16","2018-10-24","2018-11-01","2018-11-09","2018-11-17","2018-11-25","2018-12-03","2018-12-11","2018-12-19","2018-12-27","2019-01-01"
5784,-29,121,5153,4837,4837,4541,4541,4307,7850,7850,7979,8137,7098,7098,5991,6812,7848,7848,8217,8217,7559,5057,5439,5439,5473,5473,5067,5067,6728,7185,4531,4531,4464,4714,4714,4670,5860,5960,5960,6651,6778,6778,6435,6435,5904,5904,5904,3411,985,985,6053,6053,5653,6034,4419,6355,6126,6126,8595,8533,8137,8680,8680,7624,7624,3727,4144,4295,4295,3844,2930,3705,4118,2475,2475,2357,2357,2384,4726,4726,5291,5291,5941,6292,6292,3594,6634,6634,6305
5338,-85,44,4226,4185,4185,4091,4091,5385,5385,5927,6705,9657,6364,6364,7562,7562,8296,8296,7171,7171,7127,6882,6882,6987,4974,4974,5558,5558,6667,5609,3603,3603,5581,7251,7251,5453,7094,7273,7273,7014,7562,7562,7279,7279,6987,6987,6987,4849,760,760,6290,6290,6299,5696,4490,6096,6849,6849,7958,7958,7907,8565,8565,6788,6788,4663,3757,2812,2917,2917,3579,4626,5295,6283,6283,2034,3737,3737,3756,3756,5123,5123,5088,5193,5193,2795,5624,5624,5191
3827,-63,-43,2303,3156,3156,2930,2930,3534,4498,4498,4084,5268,4873,4873,5472,5516,6737,6737,7955,7833,7833,6628,5206,5206,6299,6299,6346,6346,7140,6774,3473,3473,4337,4891,4891,5213,3352,3352,2965,5047,5047,4241,4468,4468,5051,5051,5051,4039,453,453,5117,5117,4875,4875,4528,5422,5185,5185,7930,8662,8662,8228,8228,8353,8353,4960,3706,3279,3209,2834,2627,4168,2925,3507,3507,2400,2400,2689,5713,5713,6160,6160,6948,6744,6744,2790,7401,7401,1695
4802,-151,5,3532,4058,4058,3928,3928,4753,5208,5208,5808,7376,6615,6615,7018,7018,7762,7762,7416,7416,7081,5861,4557,4557,4995,4995,5056,5056,6418,6395,3419,3419,4655,5955,5955,5344,4218,4218,5438,5455,5455,5555,6018,6018,5493,5493,5493,5135,1004,5957,5216,5216,5091,5091,4056,6100,6075,6075,8440,8183,8183,8706,8706,8303,8303,4564,3695,3681,3379,3379,3367,4217,3948,3856,3856,4124,4563,4563,5699,5046,5976,5976,5491,6652,6652,3146,6590,6590,1700
5228,10,125,3803,4270,4270,4256,4256,5008,4972,4972,6210,6838,7478,7478,5554,6153,7078,7078,7209,7361,7361,7173,6464,6464,6677,6677,6587,6587,6525,7662,5981,5981,4822,7532,7532,5016,5720,5720,6525,6044,6044,6307,6418,6418,4815,5582,5582,4790,1409,1409,5853,5853,4581,5826,4645,6798,5707,5707,8228,6521,8145,8145,7900,7694,7694,5595,4889,4889,4615,3499,5190,4217,3396,4036,4036,3919,3919,3713,5741,5543,6507,6507,5813,5518,5840,3055,6578,6578,5226
5621,-194,23,4839,4602,4602,4862,4862,5715,6682,6682,7752,6126,6126,7753,6821,6821,7567,7567,8172,8172,7894,6095,4308,4308,4422,4422,4788,4788,6696,5381,5994,5994,5025,5921,5921,6718,7477,7477,7531,8149,7712,7712,7697,7697,6478,6478,6478,6632,1722,1722,6554,6554,6438,6438,4289,6841,7883,7883,9130,4370,4370,5983,5983,4110,4110,5862,6642,6642,6614,6528,6528,6678,5376,4816,4816,3903,4152,4152,5340,3491,5133,5133,5675,5350,5350,3055,6098,6098,5407
5539,-198,34,4500,4175,4175,4794,4794,5385,6411,6411,6764,6559,6559,7645,6925,7250,8333,8333,8200,8200,7593,7712,7712,5101,6739,6739,7279,7279,5035,7422,6299,6299,5112,6732,6732,6669,6976,6976,6726,7123,6464,6464,7370,7370,5666,5666,5666,5329,1291,1291,6161,6161,5768,5768,6077,7979,6114,6114,8640,7127,7127,6845,6845,5306,5306,5102,4748,6013,6013,6044,6044,6678,6676,5778,5778,4897,5099,5099,5386,4586,4776,4776,4998,5442,5442,2521,6138,6138,5791
4520,65,65,1846,3255,3255,3874,3874,4709,4689,4689,4508,5497,5253,5253,5112,6138,7807,7807,8035,7770,7770,7667,6196,6196,6941,6941,7295,7295,7516,6774,5042,5042,6409,6494,6494,6672,5161,5161,5625,5608,5608,5210,6413,6413,6399,5899,5899,5174,825,5919,5919,5561,5162,5162,4554,5579,5446,5446,8080,8148,8148,8788,8788,8089,8089,6727,5062,4664,4622,5084,5084,4168,4262,6068,6068,4284,4284,3541,6044,5100,5764,5764,6099,5732,5732,2813,5942,5942,1542
5197,-70,138,1665,2934,2934,4407,4407,4924,5546,5546,5710,6957,7299,7299,7205,7285,8009,8009,7717,7717,7477,7010,5172,5172,5160,5160,6361,6361,6602,7072,4322,4322,6062,7076,7076,5781,5893,5893,5438,5559,5559,5504,5722,5722,5665,5665,5665,5135,997,5628,5459,5459,3875,3875,3892,5579,5577,5577,8229,8570,8570,8635,8635,9076,8302,5222,5222,3949,3891,3891,5084,4168,4053,5434,5434,5318,5929,5929,5506,4490,6143,6143,5064,6252,6252,2880,6494,6494,1565
5197,-26,280,2490,4535,4535,4379,4379,4630,4971,4971,5606,5148,7149,7149,6185,7659,8374,8374,8537,8685,8685,7427,7789,7789,8395,8395,6437,6437,8467,7106,4322,4322,6062,7449,7449,5564,6585,6585,4832,5732,5732,5504,6172,6172,5176,5176,5176,4418,1289,5401,4871,4871,4489,4489,3892,5905,5107,5107,8211,8593,8594,8969,8969,8877,8795,6804,6656,6656,6419,5738,5148,5385,4982,5913,6476,5680,6124,6124,7601,6100,6888,6888,6079,5517,6799,3356,7142,7142,3861
5795,12,12,3492,4615,4615,4191,4191,4436,4436,4275,6066,7660,8028,8028,5373,5738,5738,3422,8131,8131,7587,6128,7929,7929,4784,4784,6269,6269,6705,5699,7570,7570,5234,4400,4400,3642,5180,5180,6840,7513,7513,6033,5355,5355,6665,5245,5245,5845,1398,1398,5951,5951,4793,4793,3797,6013,7159,7159,8798,7823,7823,8452,8452,8148,7908,4657,4184,3976,3976,4836,4836,5385,4880,6098,6098,4865,5708,5708,6226,6935,6935,6865,6055,5959,6799,4549,6471,6471,2977
5817,36,36,4371,5349,5349,5615,5615,6330,6978,6978,7549,5150,5150,8760,8573,8573,8185,7757,5415,6175,6175,4869,3231,3231,4521,4521,5061,5061,3745,6454,4482,4482,7498,7614,7614,7336,7789,7789,7284,7513,7513,7854,7626,7626,7083,7083,7083,5529,1224,1224,6614,6614,6496,6288,6077,7155,7719,7719,7400,7400,6752,8327,8327,7837,6434,4276,3937,5102,5102,5833,5833,6678,6452,7273,7273,7242,7242,7654,4749,3802,3802,3714,3714,4357,4357,2779,5508,5508,5062
